"variable";"description"
"PE_reference__km_pt";"km travelled by PT"
"PE_reference__km_bike";"km travelled by bike"
"PE_reference__km_ebike";"km travelled by E-bike"
"PE_reference__house_type";"house type"
"PE_reference__house_standard";"house standard"
"PE_reference__house_size";"house size"
"PE_reference__heating_type";"heating type"
"PE_reference__hh_members";"number of household members"
"PE_co2_initial__house";"current CO2-emissions caused by housing"
"PE_co2_initial__diet";"current CO2-emissions caused by diet"
"PE_co2_initial__mobility";"current CO2-emissions caused by mobility"
"PE_target";"CO2-emission target (70% of current total emissions)"
"PE_co2_final__house";"final CO2-emissions caused by housing"
"PE_co2_final__diet";"final CO2-emissions caused by diet"
"PE_co2_final__mobility";"final CO2-emissions caused by mobility"
"PE_co2_final__certificate";"final CO2-emissions saved by certificate"
"PE_target__reached";"CO2-emission target reached"
"PE_target__remaining_costs";"hypothetical cost to internalize not reached targets via certificates"
"PE_final";"final total CO2-emissions"
"PE_target__not_compensated";"difference between target and final"
"PE_reduce_car__selected";"strategy to reduce car has been selected"
"PE_reduce_car__enabled";"strategy to reduce car is selectable"
"PE_reduce_car__visible";"strategy to reduce car is visible"
"PE_reference__km_car";"km travelled by car"
"PE_reduce_car__select";"strategy to reduce car: dropdown value"
"PE_reduce_car__annual";"strategy to reduce car: annuity equivalent"
"PE_compensate_car_by_pt_short__enabled";"strategy to compensate car travel by short PT trips is selectable"
"PE_compensate_car_by_pt_short__visible";"strategy to compensate car travel by short PT trips is visible"
"PE_compensate_car_by_pt_short__select";"strategy to compensate car travel by short PT trips: dropdown value"
"PE_compensate_car_by_pt_short__annual";"strategy to compensate car travel by short PT trips: annuity equivalent"
"PE_compensate_car_by_pt_long__enabled";"strategy to compensate car travel by long PT trips is selectable"
"PE_compensate_car_by_pt_long__visible";"strategy to compensate car travel by long PT trips is visible"
"PE_compensate_car_by_pt_long__select";"strategy to compensate car travel by long PT trips: dropdown value"
"PE_compensate_car_by_pt_long__annual";"strategy to compensate car travel by long PT trips: annuity equivalent"
"PE_compensate_car_by_bike__enabled";"strategy to compensate car travel by bike is selectable"
"PE_compensate_car_by_bike__visible";"strategy to compensate car travel by bike is visble"
"PE_reference__has_bike";"has a bike"
"PE_compensate_car_by_bike__select";"strategy to compensate car travel by bike: dropdown value"
"PE_compensate_car_by_ebike__enabled";"strategy to compensate car travel by E-bike is selectable"
"PE_compensate_car_by_ebike__visible";"strategy to compensate car travel by E-bike is visible"
"PE_reference__has_ebike";"has an E-bike"
"PE_compensate_car_by_ebike__select";"strategy to compensate car travel by E-bike: dropdown value"
"PE_compensate_car_by_ebike__investment";"strategy to compensate car travel by E-bike: one-off cash equivalent"
"PE_compensate_car__enabled";"strategy to compensate car travel is selectable"
"PE_compensate_car__visible";"strategy to NOT compensate car travel is visible"
"PE_compensate_car__select";"strategy to NOT compensate car travel: dropdown value"
"PE_replace_car__selected";"strategy to replace the car is has been selected"
"PE_replace_car__enabled";"strategy to replace the cas is selectable"
"PE_replace_car__visible";"strategy to replace the car is visible"
"PE_reference__replace_car";"current car and fuel type"
"PE_replace_car__select";"strategy to replace the car: dropdown value"
"PE_replace_car__investment";"strategy to replace the car: one-off cash equivalent"
"PE_replace_car__annual";"strategy to replace the car: annuity equivalent"
"PE_sell_car__selected";"strategy to sell the car has been selected"
"PE_sell_car__visible";"strategy to sell the car is visible"
"PE_reference__car_value";"value of current car"
"PE_sell_car__investment";"strategy to sell the car: one-off cash equivalent"
"PE_sell_car__annual";"strategy to sell the car: annuity equivalent"
"PE_pt_pass__selected";"strategy to buy a PT pass has been selected"
"PE_reference__pt_pass";"current PT pass"
"PE_pt_pass__select";"strategy to buy a PT pass: dropdown value"
"PE_pt_pass__annual";"strategy to buy a PT pass: annuity equivalent"
"PE_reduce_short_flights__selected";"strategy to reduce number of short flights has been selected"
"PE_reduce_short_flights__visible";"strategy to reduce number of short flights is visible"
"PE_reference__short_flights";"current number of short flights"
"PE_reduce_short_flights__select";"strategy to reduce number of short flights: dropdown value"
"PE_reduce_short_flights__annual";"strategy to reduce number of short flights: annuity equivalent"
"PE_reduce_medium_flights__selected";"strategy to reduce number of medium flights has been selected"
"PE_reduce_medium_flights__visible";"strategy to reduce number of medium flights is visible"
"PE_reference__medium_flights";"current number of medium flights"
"PE_reduce_medium_flights__select";"strategy to reduce number of medium flights: dropdown value"
"PE_reduce_medium_flights__annual";"strategy to reduce number of medium flights: annuity equivalent"
"PE_reduce_long_flights__selected";"strategy to reduce number of long flights has been selected"
"PE_reduce_long_flights__visible";"strategy to reduce number of long flights is visible"
"PE_reference__long_flights";"current number of long flights"
"PE_reduce_long_flights__select";"strategy to reduce number of long flights: dropdown value"
"PE_reduce_long_flights__annual";"strategy to reduce number of long flights: annuity equivalent"
"PE_diet__selected";"strategy to change diet has been selected"
"PE_reference__diet";"current diet"
"PE_diet__select";"strategy to change diet: dropdown value"
"PE_insulate_roof__selected";"strategy to insulate roof has been selected"
"PE_insulate_roof__visible";"strategy to insulate roof is visible"
"PE_insulate_roof__investment";"strategy to insulate roof: one-off cash equivalent"
"PE_insulate_roof__annual";"strategy to insulate roof: annuity equivalent"
"PE_insulate_facade__selected";"strategy to insulate facade has been selected"
"PE_insulate_facade__visible";"strategy to insulate facade is visible"
"PE_insulate_facade__investment";"strategy to insulate facade: one-off cash equivalent"
"PE_insulate_facade__annual";"strategy to insulate facade: annuity equivalent"
"PE_replace_windows__selected";"strategy to replace windows has been selected"
"PE_replace_windows__visible";"strategy to replace windows is visible"
"PE_replace_windows__investment";"strategy to replace windows: one-off cash equivalent"
"PE_replace_windows__annual";"strategy to replace windows: annuity equivalent"
"PE_solar_panels__selected";"strategy to install solar panels has been selected"
"PE_solar_panels__visible";"strategy to install solar panels is visible"
