"ID";"PE_certificate__annual";"PE_certificate__clicked";"PE_certificate__select";"PE_certificate__selected";"PE_co2_final__certificate";"PE_co2_final__diet";"PE_co2_final__house";"PE_co2_final__mobility";"PE_co2_initial__diet";"PE_co2_initial__house";"PE_co2_initial__mobility";"PE_co2_reference__bike";"PE_co2_reference__car";"PE_co2_reference__diet";"PE_co2_reference__ebike";"PE_co2_reference__house";"PE_co2_reference__long_flights";"PE_co2_reference__medium_flights";"PE_co2_reference__pt";"PE_co2_reference__short_flights";"PE_compensate_car__select";"PE_compensate_car__visible";"PE_compensate_car_by_bike__select";"PE_compensate_car_by_bike__visible";"PE_compensate_car_by_ebike__investment";"PE_compensate_car_by_ebike__select";"PE_compensate_car_by_ebike__visible";"PE_compensate_car_by_pt_long__annual";"PE_compensate_car_by_pt_long__select";"PE_compensate_car_by_pt_long__visible";"PE_compensate_car_by_pt_short__annual";"PE_compensate_car_by_pt_short__select";"PE_compensate_car_by_pt_short__visible";"PE_compensate_reduce_car__reduction";"PE_diet__clicked";"PE_diet__reduction";"PE_diet__select";"PE_diet__selected";"PE_final";"PE_heat_pump__annual";"PE_heat_pump__clicked";"PE_heat_pump__investment";"PE_heat_pump__reduction";"PE_heat_pump__selected";"PE_heat_pump__visible";"PE_initial";"PE_insulate_facade__annual";"PE_insulate_facade__clicked";"PE_insulate_facade__investment";"PE_insulate_facade__reduction";"PE_insulate_facade__selected";"PE_insulate_facade__visible";"PE_insulate_roof__annual";"PE_insulate_roof__clicked";"PE_insulate_roof__investment";"PE_insulate_roof__reduction";"PE_insulate_roof__selected";"PE_insulate_roof__visible";"PE_pt_pass__annual";"PE_pt_pass__clicked";"PE_pt_pass__select";"PE_pt_pass__selected";"PE_reduce_car__annual";"PE_reduce_car__clicked";"PE_reduce_car__reduction";"PE_reduce_car__select";"PE_reduce_car__selected";"PE_reduce_car__visible";"PE_reduce_long_flights__annual";"PE_reduce_long_flights__clicked";"PE_reduce_long_flights__reduction";"PE_reduce_long_flights__select";"PE_reduce_long_flights__selected";"PE_reduce_long_flights__visible";"PE_reduce_medium_flights__annual";"PE_reduce_medium_flights__clicked";"PE_reduce_medium_flights__reduction";"PE_reduce_medium_flights__select";"PE_reduce_medium_flights__selected";"PE_reduce_medium_flights__visible";"PE_reduce_short_flights__annual";"PE_reduce_short_flights__clicked";"PE_reduce_short_flights__reduction";"PE_reduce_short_flights__select";"PE_reduce_short_flights__selected";"PE_reduce_short_flights__visible";"PE_reduce_temperature__annual";"PE_reduce_temperature__clicked";"PE_reduce_temperature__reduction";"PE_reduce_temperature__select";"PE_reduce_temperature__selected";"PE_reference__car_value";"PE_reference__certificate";"PE_reference__diet";"PE_reference__has_bike";"PE_reference__has_ebike";"PE_reference__heating_type";"PE_reference__hh_members";"PE_reference__house_size";"PE_reference__house_standard";"PE_reference__house_type";"PE_reference__km_bike";"PE_reference__km_car";"PE_reference__km_ebike";"PE_reference__km_pt";"PE_reference__long_flights";"PE_reference__medium_flights";"PE_reference__pt_pass";"PE_reference__replace_car";"PE_reference__short_flights";"PE_replace_car__annual";"PE_replace_car__clicked";"PE_replace_car__investment";"PE_replace_car__reduction";"PE_replace_car__select";"PE_replace_car__selected";"PE_replace_car__visible";"PE_replace_windows__annual";"PE_replace_windows__clicked";"PE_replace_windows__investment";"PE_replace_windows__reduction";"PE_replace_windows__selected";"PE_replace_windows__visible";"PE_sell_car__annual";"PE_sell_car__clicked";"PE_sell_car__investment";"PE_sell_car__reduction";"PE_sell_car__selected";"PE_sell_car__visible";"PE_solar_panels__annual";"PE_solar_panels__clicked";"PE_solar_panels__investment";"PE_solar_panels__reduction";"PE_solar_panels__selected";"PE_solar_panels__visible";"PE_sum__annual";"PE_sum__investment";"PE_target";"PE_target__not_compensated";"PE_target__reached";"PE_target__remaining_costs";"PE_ventilation__annual";"PE_ventilation__clicked";"PE_ventilation__investment";"PE_ventilation__reduction";"PE_ventilation__selected";"PE_ventilation__visible"
3;117;TRUE;5000;TRUE;5000;1495;3456;5000.3;1837;3840;5000.3;0.3;1000;1837;0;3840;0;4000;0;0;0;TRUE;0;TRUE;0;0;TRUE;0;0;TRUE;0;0;TRUE;0;TRUE;-342;"flexitarian";TRUE;4951.3;0;FALSE;0;0;FALSE;FALSE;10677.3;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;NA;FALSE;0;TRUE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;-63;TRUE;-384;2;TRUE;24000;20;"omnivore";TRUE;FALSE;"heat-pump";4;150;"renovated";"flat";3;20000;0;0;0;2;NA;"bev-medium";0;0;FALSE;0;0;"bev-medium";FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;54;0;7474.1;0;TRUE;0;0;FALSE;0;0;FALSE;FALSE
4;0;FALSE;0;FALSE;0;1495;4115.3;3840;1495;41737.5;8555;0;6555;1495;0;41737.5;0;2000;0;0;0;TRUE;0;TRUE;0;0;TRUE;0;0;TRUE;0;1;TRUE;1840;FALSE;0;"flexitarian";FALSE;9450.3;-307.5;TRUE;35000;-9365.9;TRUE;TRUE;51787.5;-411.1;TRUE;68750;-12521.2;TRUE;TRUE;-287.8;TRUE;70000;-8764.9;TRUE;TRUE;3860;TRUE;"season";TRUE;0;TRUE;0;1;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;-23.3;TRUE;-709.5;1;TRUE;2000;120;"flexitarian";FALSE;FALSE;"oil";1;105;"old";"detached";0;23000;0;0;0;1;NA;"diesel-large";0;0;FALSE;0;0;"diesel-large";FALSE;TRUE;-205.5;TRUE;16800;-6260.6;TRUE;TRUE;-5468.2;TRUE;-2000;-6555;TRUE;TRUE;0;FALSE;0;0;FALSE;TRUE;-2843.4;188550;36251.2;0;TRUE;0;0;FALSE;0;0;FALSE;TRUE
5;0;FALSE;0;FALSE;0;1837;75;3184.6;1837;75;3184.6;2.7;3135;1837;5.3;75;0;0;41.6;0;0;TRUE;0;TRUE;0;0;TRUE;0;0;TRUE;0;0;TRUE;0;FALSE;0;"omnivore";FALSE;5096.6;0;FALSE;0;0;FALSE;FALSE;5096.6;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;"half-fare";FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;36000;110;"omnivore";TRUE;TRUE;"district-heating";2;125;"renovated";"flat";30;11000;30;10;0;0;"half-fare";"diesel-large";0;1206;TRUE;9000;0;"diesel-large";FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;1206;9000;3567.6;1496.6;FALSE;168;0;FALSE;0;0;FALSE;FALSE
7;0;FALSE;0;FALSE;0;1495;3525.1;6348;1837;4147.2;6641.2;0;2350;1837;0;4147.2;0;4000;291.2;0;0.1;TRUE;0;TRUE;3000;0.1;TRUE;0;0;TRUE;0;0;TRUE;176.8;TRUE;-342;"flexitarian";TRUE;11368.1;0;FALSE;0;0;FALSE;FALSE;12625.4;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;TRUE;"region";TRUE;-198.9;TRUE;-470;0.2;TRUE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;-102.1;TRUE;-622.1;3;TRUE;16000;170;"omnivore";FALSE;FALSE;"electric";2;54;"renovated";"flat";0;10000;0;70;0;2;"region";"petrol-small";0;0;FALSE;0;0;"petrol-small";FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;-301;3000;8837.8;2568.1;FALSE;464;0;FALSE;0;0;FALSE;FALSE
9;0;FALSE;2000;FALSE;0;1495;1996.8;10445.1;1837;2218.7;16440.2;0.2;5940;1837;0;2218.7;7000;2000;0;1500;0;TRUE;0;TRUE;3000;0.1;TRUE;0;0;TRUE;287.3;0.1;TRUE;565;TRUE;-342;"flexitarian";TRUE;13936.9;0;FALSE;0;0;FALSE;FALSE;20495.8;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;"half-fare";FALSE;-193.1;TRUE;-220;0.2;TRUE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;1;FALSE;TRUE;-600;TRUE;-1500;3;TRUE;TRUE;-36.4;TRUE;-221.9;2;TRUE;44000;150;"omnivore";TRUE;FALSE;"heat-pump";3;130;"new";"semi-detached";2;22000;0;0;1;1;"half-fare";"petrol-large";3;-3167.6;TRUE;-11000;-4840;"bev-medium";TRUE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;-3709.8;-8000;14347.1;0;TRUE;0;0;FALSE;0;0;FALSE;TRUE
12;0;FALSE;0;FALSE;0;1837;7180.8;1135.5;1837;24000;3545.8;6.2;3290;1837;0;24000;0;0;249.6;0;0;TRUE;0.1;TRUE;0;0;TRUE;0;0;TRUE;546.1;0.3;TRUE;459.8;FALSE;0;"omnivore";FALSE;10153.3;-563.8;TRUE;35000;-13939.2;TRUE;TRUE;29382.8;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;"half-fare";FALSE;-234;TRUE;-280;0.4;TRUE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;20000;30;"omnivore";TRUE;FALSE;"gas";2;160;"renovated";"detached";70;14000;0;60;0;0;"half-fare";"petrol-small";0;1470.8;TRUE;17000;-2590;"bev-small";TRUE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;-116.5;TRUE;21000;-2880;TRUE;TRUE;1102.6;73000;20568;0;TRUE;0;0;FALSE;0;0;FALSE;TRUE
13;0;FALSE;0;FALSE;0;1837;42000;1066.7;1837;42000;8262.7;2.7;1260;1837;0;42000;7000;0;0;0;0.1;TRUE;0;TRUE;0;0;TRUE;0;0;TRUE;93.2;0.1;TRUE;56;FALSE;0;"omnivore";FALSE;44903.7;0;FALSE;0;0;FALSE;TRUE;52099.7;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;"half-fare";FALSE;-123.4;TRUE;-252;0.2;TRUE;TRUE;-1200;TRUE;-7000;1;TRUE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;24000;60;"omnivore";TRUE;FALSE;"gas";2;140;"old";"detached";30;7000;0;0;1;0;"half-fare";"phev-medium";0;0;FALSE;0;0;"phev-medium";FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;-1230.2;0;36469.8;8403.7;FALSE;674;0;FALSE;0;0;FALSE;TRUE
14;0;FALSE;0;FALSE;0;1495;7879.7;2445;1837;8755.2;3675;0;3675;1837;0;8755.2;0;0;0;0;0.2;TRUE;0;TRUE;0;0;TRUE;0;0;TRUE;390.8;0.2;TRUE;240;TRUE;-342;"flexitarian";TRUE;11819.7;0;FALSE;0;0;FALSE;FALSE;14267.2;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;TRUE;"half-fare";TRUE;-651.8;TRUE;-1470;0.4;TRUE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;-143.6;TRUE;-875.5;2;TRUE;6000;140;"omnivore";FALSE;FALSE;"electric";2;114;"renovated";"flat";0;15000;0;0;0;0;"half-fare";"petrol-medium";0;1876;TRUE;14000;0;"petrol-medium";FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;1471.4;14000;9987;1819.7;FALSE;263;0;FALSE;0;0;FALSE;FALSE
15;2506.6;TRUE;22000;TRUE;22000;1837;120;68757.1;1837;120;68757.1;0;6750;1837;7.1;120;56000;4000;0;2000;0;TRUE;0;TRUE;0;0;TRUE;0;0;TRUE;0;0;TRUE;0;FALSE;0;"omnivore";FALSE;48714.1;0;FALSE;0;0;FALSE;FALSE;70714.1;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;"half-fare";FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;2;FALSE;70000;50;"omnivore";FALSE;TRUE;"wood";2;170;"renovated";"flat";0;25000;40;0;8;2;"half-fare";"petrol-large";4;0;FALSE;0;0;"petrol-large";FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;2506.6;0;49499.9;0;TRUE;0;0;FALSE;0;0;FALSE;FALSE
16;1111.4;TRUE;5000;TRUE;5000;1837;22950;1800.4;1837;27000;2450.4;0.4;2450;1837;0;27000;0;0;0;0;0;TRUE;0;TRUE;0;0;TRUE;0;0;TRUE;0;0;TRUE;0;FALSE;0;"omnivore";FALSE;21587.4;0;FALSE;0;0;FALSE;TRUE;31287.4;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;NA;FALSE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;0;FALSE;0;0;FALSE;FALSE;-163.8;TRUE;-4050;3;TRUE;10000;190;"omnivore";TRUE;FALSE;"gas";6;180;"renovated";"semi-detached";5;10000;0;0;0;0;NA;"petrol-medium";0;5021.1;TRUE;39000;-650;"phev-medium";TRUE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;0;FALSE;0;0;FALSE;TRUE;5968.7;39000;21901.2;0;TRUE;0;0;FALSE;0;0;FALSE;TRUE
