"ID";"w1_q1";"w1_q2";"w1_q3";"w1_q3_txt";"w1_q4x1";"w1_q4x2";"w1_q4x3";"w1_q4x4";"w1_q4x5";"w1_q4x6";"w1_q4x7";"w1_q4x8";"w1_q5x1";"w1_q5x2";"w1_q5x3";"w1_q5x4";"w1_q17x1";"w1_q17x2";"w1_q17x3";"w1_q17x4";"w1_q17x5";"w1_q17x6";"w1_q18x1";"w1_q18x2";"w1_q18x3";"w1_q18x4";"w1_q18x5";"w1_q18x6";"w1_q19";"w1_q20";"w1_q21";"w1_q52x1";"w1_q52x2";"w1_q52x3";"w1_q52x4";"w1_q52x5";"w1_q53x1";"w1_q53x2";"w1_q53x3";"w1_q53x4";"w1_q53x5";"w1_q56";"w1_q64";"w1_q73";"w1_q74";"w3_q1";"w3_q2";"w3_q3";"w3_q4";"w3_q5";"w3_q6";"w3_q7";"w3_q8";"w3_q9x1";"w3_q9x2";"w3_q9x3";"w3_q9x4";"w3_q9x5";"w3_q9x6";"w3_q9x6_txt";"w3_q9x7";"w3_q10";"w3_q11";"w3_q12";"w3_q13";"w3_q14";"w3_q15";"w3_q16";"w3_q17";"w3_q18";"w3_q19";"w3_q20";"w3_q21";"w3_q22";"w3_q23";"w3_q24";"w3_q25";"w3_q31";"w3_q32";"w3_q35";"w3_q36";"PE_w3_pe_emissions";"PE_w3_pe_timer_submit";"PE_w3_pe_click_count";"PE_w3_pe_change";"PE_w3_q59";"PE_w3_q60";"PE_w3_q61"
3;1973;"female";"matura, vocational school certificate";NA;NA;NA;NA;NA;NA;"engaged in household work, caring for dependents (ie children / elderly)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"agree";"agree";"agree";"agree";"neither agree nor disagree";"agree";"neither agree nor disagree";"disagree";"agree";"7";"good";"2001 to 4000 chf";"8001 to 10000 chf";"yes";"i own a car";"electric motor (solely electric battery powered)";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"24000";20000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";0;2;0;"rarely";3;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";4;150;"heating pump";"no";"somewhat worried";"4";"6";"4";10.68;92.527;8;"emissions have changed";NA;"5";"1"
4;1974;"male";"university of applied sciences, university of education";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4 days";NA;"yes, 1 days per week";"agree";"neither agree nor disagree";"neither agree nor disagree";"strongly agree";"disagree";"disagree strongly";"disagree";"agree";"disagree";"agree";"7";"good";"4001 to 6000 chf";"6001 to 8000 chf";"yes";"i own a car";"diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"2000";23000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";0;1;0;"never";NA;NA;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished before 1980 (old)";1;105;"heating oil";"no";"somewhat worried";"7";"4";"5";51.79;93.501;18;"emissions have changed";NA;"7";"7"
5;1954;"male";"university / eth";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"disagree";"disagree";"agree";"neither agree nor disagree";"disagree";"disagree";"disagree";"neither agree nor disagree";"disagree";"disagree";"7";"very good";"4001 to 6000 chf";"6001 to 8000 chf";"yes";"i own a car";"diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"36000";11000;"1 day per week";10;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a month";30;30;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished between 1980 and 2010";2;125;"district heating";"no";"somewhat worried";"2";"4";"1";5.1;28.481;2;"no change to emissions";"no";"4";"4"
7;1973;"female";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;"employed, in the public sector (municipality, canton, federal government)";NA;"employed, self-employed";NA;NA;NA;NA;NA;"part time";NA;"part time";NA;10;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"agree";"agree";"agree";"agree";"agree";"strongly agree";"agree";"agree";NA;"disagree";"5";"good";NA;NA;"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"16000";10000;"4 days per week";70;NA;NA;"selected";NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;2;0;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";2;54;"electricity (ie electric radiator)";"no";"very worried";"7";"5";"7";12.63;95.438;21;"emissions have changed";"no";"7";"5"
9;1979;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 1 days per week";"agree";"agree";"strongly agree";"agree";"disagree";"disagree";"agree";"agree";"agree";"agree";"0 (left)";"very good";"10001 to 12000 chf";"10001 to 12000 chf";"yes";"i own a car";"petrol (gas) engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"44000";22000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";3;1;1;"at least once a month";2;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"semi-detached house / terraced house";"built / refurbished since 2010";3;130;"heating pump";"no";"very worried";"8";"8";"6";20.5;171.384;57;"emissions have changed";NA;"6";"5"
12;1958;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"agree";"agree";"neither agree nor disagree";"strongly agree";"neither agree nor disagree";"neither agree nor disagree";"agree";"agree";"neither agree nor disagree";"agree";"5";"good";"6001 to 8000 chf";"8001 to 10000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"20000";14000;"1 day per week";60;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"daily";70;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";2;160;"natural gas";"no";"very worried";"8";"8";"6";29.38;130.861;14;"emissions have changed";NA;"7";"4"
13;1957;"male";"university of applied sciences, university of education";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"disagree";"strongly agree";"agree";"agree";"agree";"disagree";"neither agree nor disagree";"disagree";"disagree strongly";"disagree";"8";"good";"6001 to 8000 chf";"6001 to 8000 chf";"yes";"i own a car";"(plug-in) hybrid combinaton of electric motor and petrol or diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"24000";7000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;0;1;"several times a week";30;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished before 1980 (old)";2;140;"natural gas";"no";"very worried";"7";"3";"1";52.1;115.811;9;"emissions have changed";"no";"3";"5"
14;1954;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"strongly agree";"agree";"strongly agree";"strongly agree";"disagree";"strongly agree";"strongly agree";"strongly agree";"neither agree nor disagree";"5";"good";"2001 to 4000 chf";NA;"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"6000";15000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished between 1980 and 2010";2;114;"electricity (ie electric radiator)";"no";"very worried";"4";"4";"1";14.27;136.945;16;"emissions have changed";"no";"4";"3"
15;1968;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;"employed, self-employed";NA;NA;NA;NA;NA;NA;NA;"full time";NA;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";"disagree";"disagree";"disagree";"disagree";"agree";"disagree strongly";"neither agree nor disagree";"disagree strongly";"disagree";"disagree";"10 (right)";"good";"over 14000 chf";"above 18000 chf";"yes";"i own a car";"petrol (gas) engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"70000";25000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";4;2;8;"rarely";0;40;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished between 1980 and 2010";2;170;"wood or wood pellets";"yes";"not very worried";"3";"6";"5";70.71;171.5;73;"emissions have changed";NA;"5";"5"
16;1976;"female";"matura, vocational school certificate";NA;NA;"employed, in the private sector";NA;NA;NA;"engaged in household work, caring for dependents (ie children / elderly)";NA;NA;NA;"part time";NA;NA;2.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2 days";NA;"yes, 2 days per week";"agree";"agree";"agree";"strongly agree";"neither agree nor disagree";"disagree";"disagree";"agree";"neither agree nor disagree";"strongly agree";"7";"very good";"2001 to 4000 chf";"12001 to 14000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"10000";10000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a week";5;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"semi-detached house / terraced house";"built / refurbished between 1980 and 2010";6;180;"natural gas";"no";"somewhat worried";"5";"2";"1";31.29;232.123;100;"emissions have changed";NA;"extremely expensive 10";"7"
