"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset"
"alpha_base",0,-4.08670271368614e-17,1.63646356759946e-16,-7.10040464817741e-17,1.45833189879351e-17,6.31719788076716e-19,-6.31202941911835e-16,-6.95824133073112e-18,1.5882293855405e-18,1.28058625216043e-17,-4.77967194513994e-18,-1.4745711862327e-18,9.30961860600703e-16,3.59662718413385e-16,1.91019570856468e-17,3.15132147215775e-18,1.44299764597613e-16,2.38396434822627e-13,-1.63512302393239e-15,2.47119410319352e-13,-4.74851536908489e-15,2.25296535224702e-13,-6.56819516812754e-15,2.22326252979523e-13,-3.56909670020017e-15,2.55062036051586e-15,6.30958593507168e-16,9.06771015266056e-16,-3.83813748649628e-15,1.2504195430191e-14,-1.17993580331987e-14,1.22264272476388e-16,5.6480194027994e-15
"gamma_rplc.r.sll",-4.08670271368614e-17,-4.66391109067814,0.0979620864880519,0.0184441001855153,0.000362389800607648,-0.00142279597553176,0.0469083049859676,-0.00128337190616829,-0.001465115781036,-0.000742676215441754,-0.000605822055585554,-0.00210983240423001,0.0183332357625761,0.122861454089462,-0.00585455990753238,-0.00122520090120526,-0.00645739393331532,-10.4778564522356,1.49607211841266,0.202052496635047,0.37457623872224,0.190763370228683,0.727381570376892,0.203485027665361,0.136026016254723,0.197054734381586,0.0729414250601318,0.217006181202009,0.355525073541733,1.35220533446224,0.834187918856775,0.127865851484803,1.17917644999014
"gamma_rdc.nd.cmpnst",1.63646356759946e-16,0.0979620864880519,-206.798301785679,0.308866842255346,0.067741767101787,0.00385292236292198,0.815905342057518,0.0103072002462156,0.000209458966036052,0.0175592817829934,0.00325480768694287,0.00144750773565291,0.253426351047776,1.96487444646484,0.0548084362958614,0.00108158675302639,0.03377956405263,9.20421287078231,-110.887683947787,1.94875439151801,3.75528792304956,1.89270698524707,8.83652942447746,1.66669578782181,1.17963474239379,1.6569270261481,0.662269384136109,2.04674245628848,3.74504667224554,14.8799047621531,9.95877835017554,2.27918211360554,13.9825903644914
"gamma_shrt.flghts",-7.10040464817741e-17,0.0184441001855153,0.308866842255346,-30.2029359623988,0.0320111402082176,0.00184482984024215,0.146524883686074,0.00163847483944706,-1.64324586924118e-05,0.00228051092387803,0.000611471039384231,0.000220715466447378,0.0366406768871372,0.355222728062359,0.00802642715740064,0.00022483725644058,0.00406922548435827,1.2642830272022,2.15691962520902,-22.6422896300767,1.51051590742059,0.799347649735462,1.68263372277602,0.226355057728521,0.171766219582328,0.234301184674825,0.0907266437330642,0.355837242187915,0.52633427805405,2.7534924440965,1.88255704029701,0.368414704478384,2.62191316342958
"gamma_mdm.flghts",1.45833189879351e-17,0.000362389800607648,0.067741767101787,0.0320111402082176,-1.53281703568099,-0.00165093171224582,0.0275897011196387,-0.000366247928665355,-0.000201132373679778,-0.000240369444014578,-0.000223567356110869,-0.000450334528158516,0.00521552865437476,0.077927022346768,-0.0037271083271481,-0.00061933413881174,-0.00191667043984046,0.287862405202864,0.499535939797904,0.166874381697646,-5.11195310804657,0.1491810312856,0.407091019230804,0.0481432582971243,0.0332857805088739,0.0486764813029437,0.0197640345325288,0.0643180883563254,0.106472509950084,0.638656539884359,0.438020850731998,0.0543509319396255,0.671276920273735
"gamma_lng.flghts",6.31719788076716e-19,-0.00142279597553176,0.00385292236292198,0.00184482984024215,-0.00165093171224582,-0.055119448422577,0.000848021347900843,-0.000328709550231959,-0.000217862831215061,-0.000367094978188755,-0.000189251744227553,-0.000267453526311187,-0.000241953828109501,0.00493020560031491,-0.00184250648736893,-0.000100533588465238,-0.000551254823526272,0.0380210888784017,0.0683067462229033,0.019328193612507,0.0279231962135648,-0.637187326408109,0.0472452542971351,0.00664252175978921,0.00446143687996195,0.00653243045171544,0.00266454488784046,0.00949345470854361,0.0153995654221522,0.0864115282105783,0.0517225066228405,0.0034448964972934,0.0741010446638106
"gamma_dt",-6.31202941911835e-16,0.0469083049859676,0.815905342057518,0.146524883686074,0.0275897011196387,0.000848021347900843,-135.815343520935,0.00250488312515493,-0.000376336425155967,0.00410478744671591,0.000637784735163525,-0.000307684194595783,0.0924170627520251,0.897410410381433,0.0217048190416959,-0.000276899035645372,0.00736242602677915,3.03315691490824,5.02880249328679,0.916211648029376,1.57463651099867,0.82026139540057,-48.0884072469103,0.544536779349776,0.389493473870098,0.559310809532223,0.232535793632912,0.624097658073067,1.25431939750865,6.03656784243017,4.35960984615599,0.86018896288886,6.63638241320835
"gamma_inslt.rf",-6.95824133073112e-18,-0.00128337190616829,0.0103072002462156,0.00163847483944706,-0.000366247928665355,-0.000328709550231959,0.00250488312515493,-0.948994213595948,-0.00420260399543204,-0.00267719154723685,-0.00101566760329948,-0.00134517539612629,0.00749500836784236,0.0104461423307166,-0.000508848104881726,-0.000462484707042407,-0.00187853597030924,0.11590794603569,0.149855526583898,0.0194860546063369,0.0408050369200632,0.0171645286577844,0.0989992118515446,-1.9546249800137,0.0761093711752088,0.109039962861882,0.0299915626557387,0.136390431199251,0.154061738989302,0.255082586273011,0.123436078971715,0.00988689384296443,0.157358751975311
"gamma_inslt.fcd",1.5882293855405e-18,-0.001465115781036,0.000209458966036052,-1.64324586924118e-05,-0.000201132373679778,-0.000217862831215061,-0.000376336425155967,-0.00420260399543204,-0.217174914310814,-0.0025140802510616,-0.00082303364560331,-0.00125716797072814,-0.000421639758138455,0.000595553443108681,-0.000290993504816276,-0.000187895735883573,-0.000965313543122415,0.0275974425171902,0.0412920840215253,0.00344967405795776,0.00882765234880621,0.00461131692498512,0.0248338689926653,0.0233393999742103,-0.50707627013406,0.0275572818487477,0.00727403214383318,0.0353420721432422,0.0364072242204698,0.0659147487891091,0.0307610749770173,0.00171605191840233,0.0387705373175781
"gamma_rplc.wndws",1.28058625216043e-17,-0.000742676215441754,0.0175592817829934,0.00228051092387803,-0.000240369444014578,-0.000367094978188755,0.00410478744671591,-0.00267719154723685,-0.0025140802510616,-2.0674366269852,-0.000709025906899906,-0.00169555156437029,0.0125284837054019,0.0152311570629636,-0.000893231597033931,-0.000300830411317742,-0.00205260675904644,0.167936470158938,0.21198289725065,0.0274710686417029,0.0585523017160774,0.0253723337819,0.13908577294659,0.149754938028853,0.114138434265751,-2.7841018788532,0.0428132818728694,0.200487929319043,0.247493611952848,0.356365714681117,0.169172114316575,0.0155249055435407,0.214939994592924
