"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset","b_rplc.r.sll_income","b_rdc.nd.cmpnst_income","b_shrt.flghts_income","b_mdm.flghts_income","b_lng.flghts_income","b_dt_income","b_inslt.rf_income","b_inslt.fcd_income","b_rplc.wndws_income","b_vntltn_income","b_ht.pmp_income","b_slr.pnls_income","b_rdc.tmp_income","b_crtfct_income","b_co2.offset_income","b_undercomp.w.offset_income","b_rplc.r.sll_initial","b_rdc.nd.cmpnst_initial","b_shrt.flghts_initial","b_mdm.flghts_initial","b_lng.flghts_initial","b_dt_initial","b_inslt.rf_initial","b_inslt.fcd_initial","b_rplc.wndws_initial","b_vntltn_initial","b_ht.pmp_initial","b_slr.pnls_initial","b_rdc.tmp_initial","b_crtfct_initial","b_co2.offset_initial","b_undercomp.w.offset_initial"
"alpha_base",-6.71237102252303e-14,1.08368924102714e-11,1.76752450433893e-16,-5.33740741252401e-10,-1.01065342145056e-10,-3.02069628131433e-11,1.62767599467003e-12,8.36639123637658e-12,5.04127594556012e-12,-1.16209004290653e-11,1.74500519430849e-11,-1.27379459185658e-12,-6.55287713202787e-17,3.15919915407799e-11,-5.31789686109098e-11,-4.16864493490649e-18,-3.94739574085436e-11,2.30565898948581e-13,-9.63570643669955e-15,-1.28934884520954e-15,2.48793012126028e-13,1.59988443262616e-11,-1.64333212850931e-10,-3.49861040336976e-16,1.51504574995627e-11,2.25408408037592e-13,-1.11311187513817e-11,5.31197862940841e-13,1.77501259189398e-11,-1.17484143334305e-15,2.23077371178493e-13,1.25852868266706e-11,1.80017302852453e-11,-1.84300845393437e-08,2.60301736347994e-10,-2.99142004264468e-16,1.27809778875884e-10,4.49518624316075e-09,2.25271386511393e-09,-4.268258808282e-09,5.53246718160426e-14,-7.70300108646063e-08,3.82926504078193e-11,-2.43652702922669e-09,7.69747055562648e-09,1.91819981397038e-10,-6.77413707422917e-08,4.01410047283113e-11,-1.48468871605113e-08,6.70413653200366e-17,-8.99437608002303e-10,3.71107488337040e-09,-2.63593602109558e-07,-2.85258933402542e-09,3.25731200386718e-14,6.89867481229454e-16,-5.59896350879156e-10,2.84531151321097e-14,-1.06690787198947e-08,6.15058699614488e-10,-1.58876686253644e-15,7.52247380050758e-10,3.43899139189182e-11,9.65928994801665e-10,-2.4704743247346e-17
"gamma_rplc.r.sll",1.08368924102714e-11,-4.78793302562644,0.107012169858108,0.0199339807091797,0.00052135036670654,-0.00140676244852994,0.0539247531442964,-0.00131894226641943,-0.00148785963182288,-0.000617015516137703,-0.000519373176298448,-0.00212196242580859,0.0205133598347409,0.133046722642252,-0.00555584319626299,-0.00118073896672896,-0.00647482877236856,-10.872993425818,1.5597027656308,0.215158750793163,0.401956006889602,0.200301999991486,0.766348506569759,0.205352460427187,0.131280224445864,0.207991189620767,0.0808820488576587,0.210090340387431,0.383999590637372,1.42391782233469,0.883454360150914,0.129602153589215,1.15988303220963,-112.848968618759,15.7959386135131,2.45604370752034,4.50985177795154,2.30935240690895,8.06003244906529,2.19286667717893,1.29068261441672,2.32057950716072,0.942800104516637,2.3530343347204,4.46456626903441,15.108317561984,9.25656614612946,1.318240916685,10.726218358153,-23.9108920826273,3.2491209024561,0.590325262722323,1.02433905519135,0.650999678910799,1.60060719330414,0.420693936585966,0.261443633352223,0.415409925109679,0.148024872352326,0.732408159847446,0.826077917206234,3.07000674069349,1.84252537773769,0.310187086025961,2.45629703012243
"gamma_rdc.nd.cmpnst",1.76752450433893e-16,0.107012169858108,-211.692486328952,0.301374155829357,0.0672919804541537,0.00326884090169001,0.882918476684368,0.00990000752387767,0.000274307007669497,0.0181449095108973,0.00370213553986668,0.000997215534409098,0.255695638298993,2.0692793716625,0.0590317332876861,0.00188693189231958,0.0408662785532971,9.45143604677823,-113.622922144562,1.9128923527349,3.76445996635325,1.78574533979605,9.17398734087382,1.67243993016969,1.16948650903818,1.69075899032649,0.696788248134909,1.76430517793125,3.79657692577793,15.3184948356948,10.3665515574273,2.39214314630221,14.3562585683861,91.6483471258257,-1069.72883574116,19.0233190477176,37.8928122428433,17.5235859749014,89.7533315384404,16.165463064297,10.7146968705897,16.8757406478133,7.39992219769044,17.5612143214128,38.4822828780894,143.16556802389,99.3915401550644,22.4733830554479,122.929087750486,19.6891154800352,-234.058167752684,4.77903352370379,8.96631674328859,5.48575751616808,18.5061251579711,3.25889815389392,2.25548748748437,3.24153945146401,1.17935256766126,5.98711628839981,6.61732051628048,29.7372848408934,20.789540546671,4.63466461495665,28.7505328714113
"gamma_shrt.flghts",-5.33740741252401e-10,0.0199339807091797,0.301374155829357,-30.0674539566128,0.0319354949304105,0.00186769911452509,0.14374385579713,0.00164031539031477,-1.4182047304438e-05,0.00249601901126802,0.000754667585919789,0.000333720059349068,0.0392846403922948,0.387950731343338,0.0079499394205279,0.000149846691041039,0.00445929193785942,1.29770042455226,2.05112932519882,-22.5694621843538,1.5224994157502,0.819913358975279,1.62363968865232,0.218314148098933,0.1516657517592,0.240269075037229,0.0975210003850949,0.376604818744408,0.550646092003457,2.89514578875331,1.86067756069032,0.367146154590835,2.54577084677638,14.3511175164126,20.7505984364647,-227.240592668068,15.5870300581717,8.6585543880149,16.690095355237,2.56255775538188,1.63071055695769,2.85819791722602,1.22504388558032,4.36702807659271,7.34180652916695,29.2129104363757,18.7896397174616,3.83202000724273,21.9776975541688,3.75202469131447,5.86961863145268,-62.8970013819629,4.47753205854656,2.94731477776328,4.20281747104475,0.581869136387635,0.389420333266585,0.637221418859272,0.257670538117038,1.57768864993792,1.41917809836336,8.22269339054325,4.88596621558374,0.975500960159905,6.63460567161581
"gamma_mdm.flghts",-1.01065342145056e-10,0.00052135036670654,0.0672919804541537,0.0319354949304105,-1.53280449137126,-0.00165910860569245,0.0283030763909795,-0.000359368486638259,-0.000203466661902634,-0.000205700734309919,-0.000205099475489634,-0.000452933365218997,0.00556124563030585,0.0852451643558269,-0.00378763448819636,-0.000601845022920706,-0.00192092737212666,0.292360580166372,0.486633022332333,0.168098063104255,-5.1116447326005,0.150006485074584,0.39447834727127,0.0467407988991169,0.0307474158661305,0.049181145474913,0.0205602565431929,0.0646921156054166,0.109759101582129,0.663039894353289,0.438722629240373,0.0575471931506441,0.663486060879104,3.15758849200818,4.86134993986529,1.75355798253364,-50.5070698645217,1.51798583387444,3.91870242411819,0.50424383384313,0.305740019624978,0.549913582544711,0.240712103221988,0.756352053270603,1.36173517049969,6.70582271206808,4.43808549885977,0.663114940287802,5.63652803579255,0.802291698607672,1.27676761829845,0.50584491020495,-13.4003965642467,0.52309808976809,0.970623071918806,0.115143002703973,0.078826871626975,0.123467114954729,0.05083588479445,0.276457229961029,0.283720671823125,1.72582088549522,1.09444836645019,0.159508573210912,1.66174074860281
"gamma_lng.flghts",-3.02069628131433e-11,-0.00140676244852994,0.00326884090169001,0.00186769911452509,-0.00165910860569245,-0.0551973854974198,0.000561111839676663,-0.000324071886775968,-0.000219142771424718,-0.000353144466283909,-0.000185090805322139,-0.000272133274897967,-0.000115185565308751,0.00687037241374128,-0.0018516978621691,-0.000104192812425592,-0.000558167161748117,0.0359179483654929,0.0632625633416518,0.01971750541846,0.0284527766223124,-0.638718656051801,0.0423897542285466,0.00684645892816088,0.0042466240525007,0.00696586032358676,0.00292665572454788,0.00979578393222997,0.0169326081394934,0.0980098365149139,0.0504720097194404,0.00296611787911025,0.0727626866834085,0.370352485466027,0.62764501278743,0.211832853158805,0.319498579772267,-6.45552810254545,0.434377815009125,0.0759927228464862,0.0453191151868579,0.0785419600619993,0.0354888932852016,0.118954153267112,0.209931942565589,1.01076077231527,0.508100048968877,0.0324707786223324,0.633458068519442,0.133091339154723,0.207811063744378,0.0694965999995365,0.102719167615331,-2.16425536255372,0.141392568208376,0.0205908655543598,0.0129050347789557,0.0207995729243083,0.00915703487427207,0.045203017397199,0.0510825292904456,0.331981823814617,0.169460342533219,0.013104782984845,0.24846149162829
"gamma_dt",1.62767599467003e-12,0.0539247531442964,0.882918476684368,0.14374385579713,0.0283030763909795,0.000561111839676663,-139.21095356212,0.00244073694089095,-0.000417397260968066,0.00451866576760145,0.00117590688023438,-0.000413207339035141,0.0992748131809256,0.938396588513908,0.0252814892246114,-1.00486333494082e-05,0.00911832973601007,3.29709813114912,5.31305725207624,0.910498065788066,1.63085205916115,0.791088563162568,-49.9588418501736,0.555369231055444,0.387032627770075,0.590318111197817,0.261380925012033,0.537095061912782,1.34530205960555,6.27780514563499,4.62721078073664,0.883802575708653,6.70303046062487,35.3770986374606,54.2697344700301,9.28494086887276,17.7604282907588,8.46828188821356,-497.966831484885,5.64600058925062,3.68183714492479,6.24582684238466,2.95033409578825,5.88809047162855,15.1202059221203,62.691957121875,46.9426821438864,8.52538160513761,59.7342826834316,6.52686785524656,10.4662991818601,2.06879441576372,3.76999102885487,2.31467650888059,-97.3754124047623,1.00735451281538,0.708368996014066,1.06313603466871,0.416969772526351,1.85518117798049,2.28916620106966,11.4014388490439,8.78791580945341,1.73622742487157,12.6572645136371
"gamma_inslt.rf",8.36639123637658e-12,-0.00131894226641943,0.00990000752387767,0.00164031539031477,-0.000359368486638259,-0.000324071886775968,0.00244073694089095,-0.964147601258183,-0.00417890387530241,-0.00274443353874535,-0.00102507364592757,-0.00129662877488561,0.00835138190064122,0.0104070618695309,-0.000508107025606857,-0.000462194225861387,-0.00188920559045152,0.114822992211649,0.147023883791867,0.0200443619440209,0.0410877177863257,0.0183140781776738,0.0969622402692731,-2.0124375855184,0.0766263917491139,0.109040295504434,0.0298260793273646,0.171030971817738,0.16490041580848,0.262920313296936,0.120459775732768,0.00987268053168921,0.151562019627171,1.19297848467162,1.36372328804321,0.1904670645304,0.419075950639457,0.203679051340007,0.977667952813197,-19.1555925410738,0.658925986437164,1.01971179293117,0.293270565907502,1.63884569533701,1.55056797263211,2.49785152377979,1.1929330672547,0.101003769479098,1.30112437236218,0.259707312416866,0.345046875382226,0.0598224562148528,0.111858708157549,0.0685734239731778,0.212647022499729,-5.69288360996368,0.211950508130502,0.302592610608065,0.0801293205260371,0.728865982164227,0.495808825793904,0.724114206659144,0.276978002364879,0.0136450240788183,0.361317182349563
"gamma_inslt.fcd",5.04127594556012e-12,-0.00148785963182288,0.000274307007669497,-1.4182047304438e-05,-0.000203466661902634,-0.000219142771424718,-0.000417397260968066,-0.00417890387530241,-0.222210252530418,-0.00252491246455284,-0.000835958139890097,-0.00126183081424284,1.89204564172438e-05,0.000683272509723879,-0.000291816778077665,-0.000188622054932942,-0.000972632038967652,0.0275332637885086,0.0420285071732589,0.0033810905722696,0.00841963129868124,0.00431228128962183,0.0247752950534636,0.0249407709781185,-0.544452181803305,0.0286856597245333,0.00743506405492266,0.044117372598083,0.0406500109866529,0.0710051070886587,0.0309614189746541,0.00173175184182671,0.0422059539689671,0.236783271628612,0.357252807384434,0.0344223690013602,0.0860476061767728,0.0499648452642108,0.215835722597195,0.204341154888675,-4.63021820832449,0.242379479685547,0.0642599971835651,0.385897916112256,0.342057148427135,0.606703430578823,0.267682165218493,0.0159032507084235,0.327295302186522,0.0641610269005216,0.0947678834052979,0.0110299151049896,0.0232643268939736,0.0151046932427004,0.0537404802523292,0.0654213277955945,-1.52945268214732,0.076845357435326,0.0195583738242667,0.182026356834921,0.118776802310506,0.192274767000714,0.0695555099099145,0.00192441111597237,0.0964618429934828
"gamma_rplc.wndws",-1.16209004290653e-11,-0.000617015516137703,0.0181449095108973,0.00249601901126802,-0.000205700734309919,-0.000353144466283909,0.00451866576760145,-0.00274443353874535,-0.00252491246455284,-2.09228767048013,-0.000703762927025841,-0.00162525881363963,0.0137390410853752,0.0153139653827923,-0.000883580777353174,-0.000300423924648553,-0.00210389703031836,0.176135382734256,0.209188505515798,0.0282243152550791,0.0602154927484686,0.0276373225152697,0.143928824075954,0.146820457442059,0.108186072253755,-2.8534340487708,0.043994522132786,0.232307391153904,0.259907037239729,0.36869119390937,0.172407935274764,0.0170304772693004,0.197876085585866,1.9906714730437,2.14150283208495,0.306313594102543,0.653596191464893,0.339323149594956,1.61237514042144,1.48020647799289,1.02659891802099,-30.053260228393,0.482795716681,2.3902498256633,2.74406871510655,3.92056183938292,1.8992613967074,0.193132682010327,1.85947137394704,0.383222017351827,0.480217569099701,0.0800185343697246,0.164876784011191,0.0984213850028793,0.308449478339656,0.382496087590386,0.280391726938734,-7.63576267914278,0.11125417626441,0.910647662509877,0.725432301601132,0.973239805809058,0.383298268692317,0.0275490804459943,0.453381975341913
