"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_co2.offset","asc_undercomp"
"alpha_base",-7.19652443147577e-14,8.27596168965821e-14,-3.18376362900665e-11,2.38854256984479e-11,6.41492248809315e-14,1.3140452569389e-14,-1.17555149772877e-15,6.31923382085304e-14,3.76650108409694e-14,-5.99244509340543e-12,9.26097727349546e-12,2.30612891593332e-12,3.94844414443759e-13,-1.9188535427836e-11,-1.45659673055716e-12,-4.35271843801211e-17,-3.07334451027148e-18,1.20584480357089e-12,7.29858265982632e-10,1.58873984273554e-12,3.04202134770601e-12,2.12052351001522e-12,1.17249792352208e-10,1.16785738360287e-10,5.45665030825621e-12,1.77448724898334e-12,5.21096633076974e-13,5.10727883399985e-13,2.92529619953538e-11,-3.52908276904475e-11,8.22261182936789e-13,3.41338647114333e-10
"gamma_rplc.r.sll",8.27596168965821e-14,-3.99119598057693,0.178595684778617,0.0216349800969841,-0.00689960581463101,-0.00261176244431488,0.0606089106704713,-0.00539033315007437,-0.00356736714936485,-0.00555652418552201,-0.00262737540952788,-0.000854471731853784,0.0161973958300334,0.211115934902563,-0.0240991619886317,-0.00315127024325415,-0.000398443163221006,-10.4251826259334,2.18566734425114,0.263009109975664,0.487944272420387,0.242473225734958,1.01107989136982,0.252301550496582,0.167144200704359,0.244518635547189,0.095506510496263,0.282148661211582,0.440957332418277,1.87925890873277,0.166601288658289,1.54382516056437
"gamma_rdc.nd.cmpnst",-3.18376362900665e-11,0.178595684778617,-247.193294023892,0.581147110744868,0.116377948056573,0.00246929787075958,1.75136620900388,0.0117765900511613,-0.000980228834827217,0.0248892496719806,0.00469184687841118,-2.48175080623966e-05,0.462996281817813,4.72816909812319,0.031485833102496,-0.00837264986504846,-0.000660005359250801,15.7024451997443,-133.575583290987,3.20035556749383,6.33804579485166,3.13201993269713,15.8054952412557,2.44635713293809,1.73732559575721,2.45585256126546,1.04702388834819,3.02158730737096,5.57646823562965,26.0347818056224,3.94776994705883,25.1077901592874
"gamma_shrt.flghts",2.38854256984479e-11,0.0216349800969841,0.581147110744868,-32.9569589717783,0.0475796389019381,0.000403296148195065,0.283865043717527,0.00210505408340281,6.00088374295212e-05,0.00304423238771306,0.000325902461580217,-2.28345109219069e-05,0.0592982775433479,0.769446630993919,0.00401970223164297,-0.00207824062353701,-0.000111016174935102,1.88302544812647,3.28668699073178,-25.7810345028643,2.35381027648041,1.20947218186603,2.72856330899655,0.308696669952908,0.242797236535238,0.330468629151174,0.130090493218985,0.488172889843898,0.728769813535058,4.38088199340106,0.587517342840852,4.07271722953635
"gamma_mdm.flghts",6.41492248809315e-14,-0.00689960581463101,0.116377948056573,0.0475796389019381,-1.2667371706841,-0.00326169661048087,0.0432019864999732,-0.00159683836014302,-0.000399707235743681,-0.00143838956509703,-0.000869728851499345,-0.000201862413310736,0.00260541609288012,0.150589505296879,-0.0141045140811464,-0.00147625580825044,-0.000126593946047553,0.408127406463471,0.752105849606849,0.244231616097143,-5.356731258837,0.213526378780507,0.640986450264877,0.0582981185097105,0.0405915455678509,0.059503782220961,0.0250544931297313,0.0761913429598016,0.130310871763115,0.986786136172772,0.0834152081514664,0.944879910961496
"gamma_lng.flghts",1.3140452569389e-14,-0.00261176244431488,0.00246929787075958,0.000403296148195065,-0.00326169661048087,-0.0151402420656784,-0.000294365448502916,-0.000524286275867271,-0.000331950503217988,-0.000665742315684106,-0.000307906039675503,-0.000103715601294458,-0.00108033799630871,0.00304625404158112,-0.00314474870108457,-0.000144678269569447,-3.45578992006323e-05,0.0308741044278966,0.0578758092328424,0.0147261533442991,0.021644239378903,-0.378705721690319,0.0401494236294441,0.00497602142260564,0.00339577964501511,0.00493384068067048,0.00215224642162259,0.00657534435197747,0.0120090097912647,0.078027409711114,0.00278250778413673,0.0546411558498846
"gamma_dt",-1.17555149772877e-15,0.0606089106704713,1.75136620900388,0.283865043717527,0.0432019864999732,-0.000294365448502916,-142.770787951227,0.00149356065487871,-0.00129492064113802,0.00415555535453096,-0.000381510577505387,-0.000257398041213479,0.158483210250944,2.16604566911343,-0.00123890663141285,-0.00490216453071609,-0.000435104645586559,4.86451056801526,8.52057420631242,1.46944081846002,2.55159733778997,1.27796378839889,-55.8498297839256,0.743239164887976,0.535350928990847,0.778498123958027,0.344419266883149,0.836151276171927,1.74991593944451,10.518794642591,1.47724088775255,11.9559850136134
"gamma_inslt.rf",6.31923382085304e-14,-0.00539033315007437,0.0117765900511613,0.00210505408340281,-0.00159683836014302,-0.000524286275867271,0.00149356065487871,-0.851467410779832,-0.00981286009585127,-0.00984867683485274,-0.00356076176821888,-0.000510619029608378,0.0081978637566668,0.0180448720917217,-0.0013178384465888,-0.00102789703423104,-9.36727996736343e-05,0.168521555579314,0.221546538648929,0.0269513152085685,0.0548154188737303,0.023501661121935,0.139846968437223,-2.1688879085514,0.115521775764789,0.165286191617672,0.0459831020353061,0.221807170724905,0.222041641603649,0.388649297004685,0.0121649883253211,0.193966741671672
"gamma_inslt.fcd",3.76650108409694e-14,-0.00356736714936485,-0.000980228834827217,6.00088374295212e-05,-0.000399707235743681,-0.000331950503217988,-0.00129492064113802,-0.00981286009585127,-0.183634710621591,-0.00459552055078906,-0.00174473998018243,-0.000454946662169306,-0.0014284449559796,0.000734133394986517,-0.000650785613204195,-0.00037923682315043,-5.04200374220077e-05,0.0406604497356141,0.0634449950885714,0.00450689147895656,0.0121856544354197,0.00626134722225407,0.0358445325559218,0.0359576938245004,-0.563677141130115,0.0417689150653497,0.0113317469199328,0.0621824405231164,0.0531827206225096,0.103406109900786,0.00188338230077833,0.0484512378803782
"gamma_rplc.wndws",-5.99244509340543e-12,-0.00555652418552201,0.0248892496719806,0.00304423238771306,-0.00143838956509703,-0.000665742315684106,0.00415555535453096,-0.00984867683485274,-0.00459552055078906,-2.01838793356136,-0.00176861916720678,-0.000673976278414605,0.0203187936622622,0.0263067124088895,-0.00288797103866014,-0.000675235010183384,-0.000106818531806402,0.243296607591476,0.319415154311161,0.0375588307383785,0.0804759021459689,0.0351633054013134,0.199018971446922,0.226574334076383,0.172572035193377,-3.15141822686441,0.0662525513230449,0.329304942469588,0.359448789585167,0.55777065395446,0.0190034775546612,0.271754899983498
"gamma_vntltn",9.26097727349546e-12,-0.00262737540952788,0.00469184687841118,0.000325902461580217,-0.000869728851499345,-0.000307906039675503,-0.000381510577505387,-0.00356076176821888,-0.00174473998018243,-0.00176861916720678,-1.5559679832179,-0.000153448053517204,0.00309367326046763,0.00555955095302968,-0.0039479342258871,-0.00023540018105518,-3.24967116106137e-05,0.0345802966418544,0.0603957822218021,0.00862114776969215,0.0137754337659757,0.0102803802072589,0.0381330401671974,0.0245653464802696,0.0178490817543589,0.0274613162349023,-0.51402796511365,0.0244941330462367,0.0613625878898437,0.0850211923698614,0.00330778980313341,0.0594814483496476
"gamma_ht.pmp",2.30612891593332e-12,-0.000854471731853784,-2.48175080623966e-05,-2.28345109219069e-05,-0.000201862413310736,-0.000103715601294458,-0.000257398041213479,-0.000510619029608378,-0.000454946662169306,-0.000673976278414605,-0.000153448053517204,-0.000251601386014363,-0.000765212222709459,2.98400472897554e-05,-9.22895365908247e-05,1.6867359521908e-12,-1.28264549058871e-06,0.00836916412871097,0.0124733826607325,0.00131485472366008,0.00265435691567712,0.00131971707671827,0.00734961557825051,0.0078418303722151,0.00521196037379582,0.00759665580753664,0.00233904577180167,-0.103949862309423,0.0125072073845151,0.0181163740939829,5.64927506948293e-07,0.00900147696551146
"gamma_slr.pnls",3.94844414443759e-13,0.0161973958300334,0.462996281817813,0.0592982775433479,0.00260541609288012,-0.00108033799630871,0.158483210250944,0.0081978637566668,-0.0014284449559796,0.0203187936622622,0.00309367326046763,-0.000765212222709459,-20.417271702198,0.531301635812782,-0.00372283610191774,-0.00273073617101086,-0.000267744503072486,2.6378800356565,3.76396905730861,0.565918616981407,1.01713034168232,0.445721718097982,2.3172178138151,1.97065315032975,1.36313333615712,2.01894834026419,0.823863979033661,3.1186097934437,-32.8231845616019,6.28573369100518,0.347572014666853,3.39236921968064
