"","alpha_rplc.r.sll","alpha_rdc.nd.cmpnst","alpha_shrt.flghts","alpha_mdm.flghts","alpha_lng.flghts","alpha_dt","alpha_inslt.rf","alpha_inslt.fcd","alpha_rplc.wndws","alpha_vntltn","alpha_ht.pmp","alpha_slr.pnls","alpha_rdc.tmp","alpha_crtfct","alpha_co2.offset","alpha_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset"
"alpha_rplc.r.sll",-201.626546172004,0.00698138447657189,-3.36386051619457e-10,-2.04251570227555,-0.811360649267295,-2.58077614768612e-16,-0.775891478188669,-0.816842877658994,-0.502844279003545,-0.148323168183082,-0.437029433168818,-0.0256986130215082,0.491161625963122,-8.17695362803604,-1.12934804291889,-4.91369629360456,-81.3318948035441,17.4204991557641,2.01089040878644,3.69927403054395,1.83204804171726,7.87092480397719,1.9623071373776,1.29323302662963,1.88997232487304,0.761756870097152,2.08587867537621,3.33976764701446,14.5361802807869,9.10152864563391,1.27887627944419
"alpha_rdc.nd.cmpnst",0.00698138447657189,-0.0137065373557357,1.35438835914272e-10,0.00417157722722712,0.000862748547031161,-1.10483993607311e-13,-0.00151502713545738,-0.00159859100442463,-5.78347535077321e-06,-0.000123024300482416,0.000481567487704597,0.00438029962524254,0.0175365479591287,-0.00139660855190339,-0.0050086201183887,-0.00747385887020331,0.111430546074627,-0.915172459092701,0.0205418050891225,0.0425781750449157,0.0202672822147296,0.107436705902832,0.0164472763354039,0.0118582463128657,0.0164845656439944,0.00734608426647344,0.0188511747901588,0.0374992308283838,0.173122139726167,0.126740966546587,0.0278674353409545
"alpha_shrt.flghts",-3.36386051619457e-10,1.35438835914272e-10,-8.65941392376762e-09,8.75373548620732e-10,5.91072844897612e-10,-3.57352487472918e-26,2.63094430745561e-12,1.27548760787202e-12,-5.90181240466084e-11,7.5823318013193e-18,-7.71301840824046e-11,4.72376812738581e-10,3.18474929362625e-09,2.72294341375304e-10,-7.60694718699528e-10,-6.59135507200358e-10,1.41211687074466e-08,2.03272259746067e-08,-1.69277912060815e-07,1.50024611805093e-08,1.00342075655691e-08,1.77948244124047e-08,4.86981389830786e-09,-6.28395572910042e-10,1.77120713908419e-09,1.54381170091891e-09,3.21463529856305e-09,4.25170450367851e-09,2.85574284484359e-08,2.37962459043306e-08,3.73280142848676e-09
"alpha_mdm.flghts",-2.04251570227555,0.00417157722722712,8.75373548620732e-10,-103.667283608374,-1.41130017816161,1.66825538146582e-17,-0.231757377701236,-0.115878864780475,-0.15084431539448,-0.0336905259522669,-0.105527861008249,-0.0162832341847588,0.624155135052351,-6.67962791576277,-0.737366047268251,-2.23857427417637,4.29764998996496,7.82617202831317,2.30437100255959,-55.6190126944137,2.21099653589618,6.74728928121697,0.597172040304283,0.418802027372313,0.611357176795041,0.257036712512727,0.7903221093014,1.28991025636346,9.81562587639478,7.3176963424302,0.883771164873758
"alpha_lng.flghts",-0.811360649267295,0.000862748547031161,5.91072844897612e-10,-1.41130017816161,-20.1659371836467,-2.01040680530053e-16,-0.134236381746161,-0.241334164417824,-0.131606729600398,-0.024834724045213,-1.34491588255799,-0.039165216828122,0.0392192824325063,-5.26652864692635,-0.312216991621542,-2.4783125874425,1.38500046652912,2.62297641355171,0.638008728350419,0.906089419523779,-16.8023381063111,1.83532281915475,0.206970880906294,0.142428851005704,0.204292805448322,0.0923271648075592,0.300319760525527,0.510372274344342,3.36153877972284,1.9336726431213,0.137972179635532
"alpha_dt",-2.58077614768612e-16,-1.10483993607311e-13,-3.57352487472918e-26,1.66825538146582e-17,-2.01040680530053e-16,0,1.58532757141524e-12,2.233628532655e-15,1.03320419316093e-13,6.78237106480867e-15,-5.80995224996789e-18,1.7512776942905e-15,2.17357485370407e-16,1.03061688824754e-15,-6.09876091409532e-18,1.15109769715046e-17,-1.96995758199113e-16,-9.31599492908404e-16,2.49632624456652e-15,2.07674052483338e-16,-7.70488508421917e-17,-1.99839217814466e-14,-2.34364410226218e-16,-9.461232760346e-15,3.00758399722802e-17,-2.97546378649771e-17,-2.21591534508373e-16,2.09566145798899e-17,2.42381319708355e-15,1.22053747345476e-14,2.0500868725064e-15
"alpha_inslt.rf",-0.775891478188669,-0.00151502713545738,2.63094430745561e-12,-0.231757377701236,-0.134236381746161,1.58532757141524e-12,-69.535219621475,-3.33994526195751,-1.42054966504521,-0.254709201134167,-1.32892023510546,-0.0927303621229768,0.0661582448643062,-0.473059564298506,-0.432707016787509,-1.1455715017718,1.68753442736082,2.2017363978309,0.265039294744771,0.547845656148423,0.232204787632651,1.41045988037232,-21.8433125361794,1.17504294312334,1.62974672333791,0.469203449801876,2.16753889030861,2.17957549758063,4.10951680742892,1.67010942591707,0.124817473298436
"alpha_inslt.fcd",-0.816842877658994,-0.00159859100442463,1.27548760787202e-12,-0.115878864780475,-0.241334164417824,2.233628532655e-15,-3.33994526195751,-49.9890930862013,-0.797609121558165,-0.139319811686911,-2.81690499481486,-0.185376061065481,0.00477915703568981,-0.211050896342927,-0.203810099464421,-0.960984624906266,0.763502449695937,1.20869049300711,0.0906389126930876,0.234949633230357,0.118144331480902,0.685545550667095,0.670196888754126,-10.8054080912123,0.790354062181792,0.217958982920439,1.12993702399777,1.00682190711016,2.11147217406593,0.801606151354246,0.0396572151925385
"alpha_rplc.wndws",-0.502844279003545,-5.78347535077321e-06,-5.90181240466084e-11,-0.15084431539448,-0.131606729600398,1.03320419316093e-13,-1.42054966504521,-0.797609121558165,-59.2576592661605,-0.0395016785125029,-0.731707550901675,0.102536635801289,0.0218383231999385,-0.655708800670784,-0.140046789385542,-0.767794256603543,1.38212064660641,1.81127194191319,0.213793505291278,0.466246921626692,0.197800179394386,1.14310451681284,1.26153940360621,0.995498875939513,-18.0579841229714,0.383336497605777,1.82688400702364,2.03557322032526,3.35095619431061,1.31907468768826,0.110217720623717
"alpha_vntltn",-0.148323168183082,-0.000123024300482416,7.5823318013193e-18,-0.0336905259522669,-0.024834724045213,6.78237106480867e-15,-0.254709201134167,-0.139319811686911,-0.0395016785125029,-13.5960671924017,-0.112473637396531,-0.00383329027380613,0.00132679598926025,-0.439236245114474,-0.0287876077466815,-0.143158030474544,0.111101212328567,0.194145018506359,0.0257189033140429,0.0442885289308119,0.0315581152626182,0.120937717575799,0.0766877712558889,0.0564621969228906,0.0874798737583657,-1.61440225421519,0.0754837722115379,0.179383135730869,0.263820698355463,0.141881076437673,0.0102459992475145
