"detail.rd.reduceCar";"detail.rd.compCar"
0;0
0;1.84
0;0
-0.47;0.1768
-0.22;0.56496
-0.28;0.45976
-0.252;0.056
-1.47;0.24
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.705;0.24
-0.18;0.04
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-2.016;0.896
0;0
-2.268;0.30816
0;0
0;0
0;0
0;0
-0.22;0
0;0
0;0
-0.98;0
0;0
0;0
0;0
0;0
-0.342;0
0;0
-1.41;0
-0.588;0.26944
0;0
0;0
0;0
0;0
0;0
0;0
-1.026;0.288
0;0
0;0
-0.209;0.67184
-0.3185;0
0;0
0;0
0;0
0;0
0;0
-1.425;0
0;0
0;0
-0.252;0
0;0
0;0
0;0
-1.458;0.37512
0;0
0;0
0;0
-0.075;0.12
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.81;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.294;0.096
-1.176;0.28288
0;0
-0.147;0.07704
-0.1175;0
-0.282;0
-0.088;0
0;0
-0.7755;0
0;0
0;0
0;0
0;0
0;0
-0.108;0.07704
-1.176;0.128
0;0
0;0
0;0
-0.882;0.288
0;0
-0.3675;0
0;0
-0.33;0
0;0
-1.225;0
-0.06;0.032
0;0
0;0
-0.423;0.20208
-0.735;0.24
0;0
-0.075;0
0;0
0;0
-1.728;0.192
0;0
0;0
0;0.176
0;0
-0.49;0.2568
-0.912;0.256
-1.504;0
-1.425;0.08
0;0
0;0
0;0
-0.855;0
-0.09;0.15156
0;0
-0.252;0.056
0;0
-0.162;0
0;0
0;0
0;0
0;0
0;0
-0.1715;0
0;0
0;0
0;0
-1.08;0.48
0;0
-0.5635;0.184
-0.54;0
-0.1;0.1684
-0.735;0
-2.205;0.144
0;0
0;0
0;0
-0.216;0
0;0
0;0
-1.482;0.91936
-0.2565;0.15912
0;0
0;0
-0.077;0.17976
-0.245;0
-1.35;0
0;0
0;0
-0.171;0
-3.24;0.5304
-1.512;0.672
0;0
-0.47;0.1768
0;0
-2.7;0
-0.2;0.32
0;0
0;0
-1.62;0
0;0
0;0
-0.018;0
0;0
0;0
0;0
0;0
-1.35;0.2
0;0
0;0
-2.565;0
-0.036;0.016
0;0
-0.893;0
-0.06;0.096
0;0
0;0
-0.025;0.04
-0.25;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.376;0.096
-0.47;0.2568
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.216;0.096
0;0
0;0.5304
0;0
0;0
0;0
-0.81;0
-0.392;0
-0.15;0
-1.944;0.576
-0.392;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-1.596;0
-1.2495;0
0;0
-1.225;0.4
-0.18;0
0;0
0;0
0;0
0;0
-0.126;0.056
0;0
0;0
-1.551;0.56496
-0.11;0.1768
-0.188;0.064
0;0
0;0
-0.705;0.24
0;0
0;1.326
0;0
-4.41;1.44
0;0.40416
0;0
0;0
0;0
0;0
-0.42;0.69552
-0.98;0.32
-0.49;0
-0.441;0.14904
0;0
-0.57;0
0;0
0;0
0;0
0;0
-4.41;0
0;0
-0.235;0
0;0
-0.1;0.16
0;0
0;0
0;0
-0.285;0.0884
-0.294;0
-0.15;0.24
-0.517;0.088
0;0
-0.6345;0.216
0;0
0;0
0;0
0;0
-0.539;0.18524
-0.15;0
0;0
0;0
0;0
-0.456;0
-0.486;0
0;0
0;0
0;0
-1.1025;0.3726
0;0
-0.594;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.294;0
0;0
-2.205;0.7452
-0.09;0.02484
-0.735;0
-2.28;0.1768
-0.3675;0
-0.225;0.6504
0;0
0;0
0;0
0;0
-0.141;0.10608
0;0
0;0
-0.588;0.096
0;0
-1.47;0
-0.441;0
-0.1175;0
0;0
0;0
-0.11;0.0884
0;0
-0.8225;0.3094
0;0
0;0
-0.05;0.0842
0;0
-0.1;0
0;0
-0.49;0
-0.15;0
0;0
0;0
-0.147;0.04
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-1.269;0
0;0
-0.588;0.192
0;0
-0.47;0.08
-0.423;0
-0.0245;0.01768
0;0
0;0
0;0
0;0
-1.176;0.21216
-1.296;0.51024
